Id,Weekly_Sales
1_1_2012-11-02,29445.19342999982
1_1_2012-11-09,23405.73990999999
1_1_2012-11-16,23762.31304999991
1_1_2012-11-23,23143.78216999991
1_1_2012-11-30,26842.22030999991
1_1_2012-12-07,26087.274969999984
1_1_2012-12-14,33758.79622000002
1_1_2012-12-21,46193.133099999875
1_1_2012-12-28,25828.660549999862
1_1_2013-01-04,21186.406649999986
1_1_2013-01-11,20635.733659999998
1_1_2013-01-18,21312.21623000001
1_1_2013-01-25,20194.274610000066
1_1_2013-02-01,25471.75769999999
1_1_2013-02-08,31263.7075299998
1_1_2013-02-15,33764.49375999995
1_1_2013-02-22,27167.745289999984
1_1_2013-03-01,25341.834349999946
1_1_2013-03-08,22984.67462000001
1_1_2013-03-15,23475.4406400001
1_1_2013-03-22,27690.95501000004
1_1_2013-03-29,26544.139820000022
1_1_2013-04-05,25465.58095000003
1_1_2013-04-12,22481.85425000007
1_1_2013-04-19,22329.32202999997
1_1_2013-04-26,21912.68970000004
1_1_2013-05-03,21397.766060000016
1_1_2013-05-10,19588.805119999946
1_1_2013-05-17,22610.392599999926
1_1_2013-05-24,16755.88770999999
1_1_2013-05-31,16993.905670000117
1_1_2013-06-07,17444.67627000003
1_1_2013-06-14,17239.025539999995
1_1_2013-06-21,16838.841360000002
1_1_2013-06-28,16576.769450000003
1_1_2013-07-05,17279.22581999998
1_1_2013-07-12,16872.514639999954
1_1_2013-07-19,17079.427050000057
1_1_2013-07-26,17044.46072000001
1_2_2012-11-02,46529.2337299996
1_2_2012-11-09,46997.669559999726
1_2_2012-11-16,45543.84404000002
1_2_2012-11-23,45790.95737000044
1_2_2012-11-30,45615.9768900004
1_2_2012-12-07,46613.437170000034
1_2_2012-12-14,46503.4769500003
1_2_2012-12-21,61000.45902999982
1_2_2012-12-28,44390.94964999985
1_2_2013-01-04,42516.87892000006
1_2_2013-01-11,43774.95850000025
1_2_2013-01-18,43467.71815000006
1_2_2013-01-25,42504.144249999845
1_2_2013-02-01,49182.00725999991
1_2_2013-02-08,51049.60236000007
1_2_2013-02-15,50058.31689000011
1_2_2013-02-22,50200.8312999999
1_2_2013-03-01,46395.785779999846
1_2_2013-03-08,45401.0788500001
1_2_2013-03-15,45846.38146999985
1_2_2013-03-22,48927.24322000002
1_2_2013-03-29,47421.81087000008
1_2_2013-04-05,47134.32405000012
1_2_2013-04-12,44510.681890000036
1_2_2013-04-19,44531.23750000004
1_2_2013-04-26,43600.52340000005
1_2_2013-05-03,44615.17032000005
1_2_2013-05-10,46068.17455000008
1_2_2013-05-17,48557.23052999993
1_2_2013-05-24,46152.551299999745
1_2_2013-05-31,45393.71061999987
1_2_2013-06-07,45488.4178799999
1_2_2013-06-14,48635.50245000008
1_2_2013-06-21,46744.71869999981
1_2_2013-06-28,45881.60666999995
1_2_2013-07-05,45863.493739999794
1_2_2013-07-12,45417.109709999924
1_2_2013-07-19,45228.95089999996
1_2_2013-07-26,43752.02376999988
1_3_2012-11-02,10622.206320000061
1_3_2012-11-09,12224.112650000046
1_3_2012-11-16,10731.748150000029
1_3_2012-11-23,9843.362599999977
1_3_2012-11-30,10878.348739999961
1_3_2012-12-07,12682.44690000003
1_3_2012-12-14,11544.30775000004
1_3_2012-12-21,12825.305800000062
1_3_2012-12-28,9673.994050000014
1_3_2013-01-04,13248.256549999925
1_3_2013-01-11,13294.816770000047
1_3_2013-01-18,12293.220369999997
1_3_2013-01-25,11615.826969999978
1_3_2013-02-01,15406.916129999958
1_3_2013-02-08,16739.94401999991
1_3_2013-02-15,15483.963689999906
1_3_2013-02-22,15658.547610000009
1_3_2013-03-01,11965.98019000005
1_3_2013-03-08,11634.531890000082
1_3_2013-03-15,10809.935400000075
1_3_2013-03-22,12077.800340000034
1_3_2013-03-29,10956.06733000004
1_3_2013-04-05,10767.351240000053
1_3_2013-04-12,10377.574250000065
1_3_2013-04-19,9709.92480000005
1_3_2013-04-26,10257.335290000041
1_3_2013-05-03,9085.069260000018
1_3_2013-05-10,9931.434220000034
1_3_2013-05-17,10129.255900000002
1_3_2013-05-24,8574.769799999998
1_3_2013-05-31,7962.286169999882
1_3_2013-06-07,8549.329769999962
1_3_2013-06-14,11892.136449999995
1_3_2013-06-21,9120.966220000058
1_3_2013-06-28,9510.058830000007
1_3_2013-07-05,13271.596620000035
1_3_2013-07-12,12055.49318000004
1_3_2013-07-19,15596.466049999928
1_3_2013-07-26,17813.143839999884
1_4_2012-11-02,37817.57394999991
1_4_2012-11-09,38538.78506999987
1_4_2012-11-16,38376.65559000009
1_4_2012-11-23,44700.52338000039
1_4_2012-11-30,37984.158120000044
1_4_2012-12-07,39099.71311000008
1_4_2012-12-14,37053.95089000001
1_4_2012-12-21,45791.85449999966
1_4_2012-12-28,38705.19031000007
1_4_2013-01-04,36601.1301
1_4_2013-01-11,36692.92809999995
1_4_2013-01-18,35747.45597999996
1_4_2013-01-25,35315.20005000008
1_4_2013-02-01,40080.03535000015
1_4_2013-02-08,40538.10635999998
1_4_2013-02-15,38770.5466099999
1_4_2013-02-22,38492.34190999987
1_4_2013-03-01,36906.44890999997
1_4_2013-03-08,37188.47788
1_4_2013-03-15,36854.85516999989
1_4_2013-03-22,40546.77026000012
1_4_2013-03-29,39528.41313000005
1_4_2013-04-05,38935.439860000086
1_4_2013-04-12,36002.20066000001
1_4_2013-04-19,37075.67467000009
1_4_2013-04-26,36534.39225
1_4_2013-05-03,37021.66032999995
1_4_2013-05-10,36617.74869999983
1_4_2013-05-17,38132.97007999993
1_4_2013-05-24,37647.80023999999
1_4_2013-05-31,38548.10543000003
